"","counts.CD8T","counts.CD4T","counts.NK","counts.Bcell","counts.Mono","counts.Neu"
"GSM1920438_9343114231_R05C02",0.0694228848152545,0.0966165923046865,-7.11002041718467e-19,0.059753003848695,0.0774070475834779,0.732620875855249
"GSM1920439_9407210022_R03C01",0.0255277535986689,0.147223792916455,5.27497056072582e-19,0.263157358844012,0.0940327851882091,0.52267227196263
"GSM1920440_9343114237_R06C02",0.116199894398583,0.0740939312318221,0.00289209441627205,0.143132191609968,0.0608178680531495,0.632099742694117
"GSM1920441_9388306067_R06C01",0.0460224270326487,0.174132863542801,0.0084954470179619,0.260603092812389,0.0558591472275043,0.509521612811798
"GSM1920442_9343114237_R01C02",0.163427911508862,0.231272683385725,4.75423329784036e-19,0.206682046238702,0.129190756501657,0.316331756379485
"GSM1920443_9407210022_R05C02",0.0840763641783352,0.235183419086086,0.00340344208006853,0.314072378851601,0.0873628353675863,0.324535028768603
"GSM1920444_9344730139_R05C02",0.100099123599364,0.11701833035447,0.0293442529169359,0.311215387864497,0.102225527150359,0.379930115707469
"GSM1920445_9344730139_R06C02",0.191329169426412,0.142333035723004,0.0264295327003147,0.184885271622443,0.0595238092472567,0.425502335908989
"GSM1920446_8221924015_R06C01",0.259018028573813,0.107894476454234,0.107804451807881,0.0819208718064608,0.142994071432524,0.358810129462895
"GSM1920447_8221916168_R03C02",0.0958306399992715,0.299196810368469,0.0426948777199131,0.0742033811512434,0.0725337327102382,0.464790479640021
"GSM1920448_8221916168_R04C02",0.223057298624898,0.166270488448398,6.13598707750269e-20,0.0587604094595485,0.0761448161418245,0.511483505003839
"GSM1920449_8942297115_R03C01",0.189661323270283,0.289467042281883,4.47977908688593e-18,0.28036255947133,0.06047681705986,0.253102352121441
"GSM1920450_3999834026_R06C02",0.15619997724647,0.177367881064931,0.067278227119725,0.126224732180018,0.0857185035118964,0.432511885480349
"GSM1920451_8942297063_R01C01",0.0899247533689742,0.182206101522268,0.0675349129270481,0.0691203461110545,0.0991461351580435,0.553427614208878
"GSM1920452_8221924015_R05C01",0.0974261546194972,0.167033979987559,0.0633295545369562,0.0592699023095906,0.0573389524611939,0.592883786890938
"GSM1920453_9647450117_R01C02",0.0816289344976053,0.201603199988747,7.58852241975963e-19,0.0755469223563648,0.08208408147154,0.592275586633369
"GSM1920454_8942297082_R01C02",0.12702501187503,0.204073864820797,-6.52719959465881e-19,0.22502778514444,0.0598750371676483,0.426246165156496
"GSM1920455_8942297115_R01C01",0.020162157231691,0.244172312694458,0.00355763136572907,0.284537230717925,0.101750281847009,0.381986373576671
"GSM1920456_8942297082_R05C01",0.192859080096422,0.0982675137182768,0.0598120574527698,0.159539358990273,0.0609102445256565,0.460642475937505
"GSM1920457_7497398001_R06C02",0.0977392969545579,0.153071777085865,0.0641001328507877,0.0755952743840701,0.0953557096300165,0.558659401344554
"GSM1920458_8942297111_R05C02",0.0655465112990552,0.0581780382320277,0.0254553232615542,0.0655676976303753,0.100382033110014,0.727604184800883
"GSM1920459_8221924015_R03C02",0.191525144241687,0.157706650982421,0.000203065114903806,0.270237832524832,0.0830371614282933,0.333870345908129
"GSM1920460_9343114237_R04C02",0.0473214999696399,0.0670542040919514,0.0712585100737692,0.0670170624337084,0.0704413753823159,0.725588006831918
"GSM1920461_9343114237_R02C01",0.0901172218668378,0.178407958961381,-5.812136876553e-19,0.117862008441583,0.0754121377873866,0.584549326925468
"GSM1920462_9344730057_R03C01",0.0520666349165219,0.0708791435464195,0.0039941053571865,0.0704968541015264,0.0726937775049483,0.753280372507765
"GSM1920463_9407210022_R02C01",0.124380695790977,0.274287686728115,2.79440631107926e-18,0.261168506335614,0.0596129058330908,0.316228685611525
"GSM1920464_9343114237_R01C01",0.124704674968678,0.119947455205795,0.0896933936551781,0.0795990018057036,0.0902672241716053,0.541728808454802
"GSM1920465_9343114237_R05C02",0.0208048939781366,0.14496102575192,0.104622934624762,0.145001862557922,0.0978218197911446,0.522033883294742
"GSM1920466_9344730057_R02C01",0.081827057971116,0.0787282317629384,0.121580545696779,0.0903961234486817,0.0653287190128353,0.585552398976258
"GSM1920467_9388306067_R03C02",0.0718250204104747,0.194530789335353,-1.06445048434746e-20,0.200943755302816,0.0876974103311859,0.47755563786872
"GSM1920468_9407210022_R02C02",0.117743386856525,0.166661790877882,0.201709131752266,0.130424927337962,0.0701026530752842,0.36200250184268
"GSM1920469_9344730139_R01C01",0.1440035290699,0.181869361720903,4.54352116302452e-18,0.104565894090209,0.0507779986370126,0.554072689931475
